source,target,type,weight
N01,N02,depends,0.78
N01,N03,depends,0.75
N01,N04,depends,0.82
N04,N05,depends,0.86
N01,N06,depends,0.8
N02,N06,depends,0.72
N06,N07,depends,0.66
N03,N08,depends,0.68
N08,N51,depends,0.7
N09,N10,depends,0.92
N10,N11,depends,0.9
N10,N12,depends,0.88
N12,N13,depends,0.82
N14,N15,depends,0.86
N15,N16,depends,0.84
N02,N11,depends,0.7
N05,N12,depends,0.72
N06,N14,depends,0.65
N17,N18,depends,0.86
N18,N19,depends,0.88
N19,N20,depends,0.8
N20,N21,depends,0.78
N24,N18,depends,0.76
N17,N20,depends,0.72
N22,N19,depends,0.7
N23,N62,depends,0.82
N23,N63,depends,0.78
N25,N26,depends,0.82
N26,N27,depends,0.86
N27,N30,depends,0.78
N28,N29,depends,0.9
N29,N30,depends,0.74
N30,N31,depends,0.72
N32,N63,depends,0.86
N51,N32,depends,0.68
N33,N39,depends,0.76
N34,N35,depends,0.65
N36,N37,depends,0.82
N37,N39,depends,0.74
N40,N36,depends,0.86
N39,N46,depends,0.62
N38,N46,depends,0.7
N41,N42,depends,0.9
N42,N43,depends,0.88
N43,N44,depends,0.72
N43,N45,depends,0.74
N41,N46,depends,0.7
N42,N48,depends,0.78
N47,N46,depends,0.64
N49,N50,depends,0.76
N50,N51,depends,0.82
N51,N53,depends,0.78
N52,N50,depends,0.66
N54,N39,depends,0.62
N55,N59,depends,0.84
N56,N61,depends,0.82
N57,N56,depends,0.78
N58,N59,depends,0.86
N59,N60,depends,0.82
N60,N61,depends,0.86
N61,N64,depends,0.7
N40,N61,depends,0.76
N55,N60,depends,0.8
N63,N32,depends,0.72
N05,N53,depends,0.74
N10,N53,depends,0.76
N20,N53,depends,0.7
N28,N08,depends,0.62
N50,N08,depends,0.68
N51,N23,depends,0.64
N57,N60,depends,0.76
