source,target,type,weight
N01,N09,depends,0.80
N02,N03,depends,0.62
N03,N14,depends,0.70
N04,N11,depends,0.68
N05,N10,depends,0.82
N06,N19,depends,0.80
N07,N21,depends,0.76
N08,N17,causes,0.62
N09,N17,depends,0.72
N10,N13,depends,0.76
N11,N14,depends,0.70
N12,N16,depends,0.58
N13,N26,depends,0.72
N14,N41,depends,0.74
N15,N13,contains,0.66
N16,N15,depends,0.58
N17,N18,depends,0.84
N18,N19,depends,0.86
N19,N21,depends,0.82
N20,N21,evolved,0.62
N21,N22,contains,0.86
N22,N25,depends,0.88
N23,N32,depends,0.70
N24,N30,depends,0.60
N25,N26,contains,0.74
N26,N27,depends,0.82
N27,N28,depends,0.80
N28,N29,depends,0.74
N29,N30,depends,0.82
N30,N31,depends,0.86
N31,N32,depends,0.78
N32,N55,depends,0.72
N25,N35,depends,0.72
N31,N36,depends,0.86
N33,N34,depends,0.72
N34,N35,depends,0.76
N35,N36,depends,0.82
N36,N37,depends,0.70
N37,N38,depends,0.66
N38,N40,depends,0.72
N39,N35,depends,0.62
N40,N54,depends,0.76
N41,N33,depends,0.70
N42,N34,depends,0.66
N43,N35,depends,0.70
N44,N45,depends,0.70
N45,N48,causes,0.64
N46,N47,depends,0.74
N47,N56,depends,0.82
N48,N56,depends,0.78
N49,N31,depends,0.72
N50,N25,depends,0.64
N51,N36,depends,0.72
N52,N31,depends,0.74
N53,N55,depends,0.70
N54,N31,depends,0.66
N55,N52,contains,0.62
N56,N40,depends,0.76
N57,N35,depends,0.54
N58,N43,depends,0.70
N59,N44,depends,0.64
N60,N35,depends,0.58
N61,N36,depends,0.60
N62,N64,depends,0.58
N63,N64,depends,0.56
N64,N52,depends,0.44
N48,N53,causes,0.58
N46,N55,causes,0.66
N29,N52,depends,0.62
N36,N52,depends,0.74
N40,N56,depends,0.72
N58,N60,depends,0.62
