source,target,type,weight
可保风险,风险转移,depends,0.75
大数法则,可保风险,depends,0.7
逆选择,大数法则,evolved,0.45
道德风险,风险转移,evolved,0.46
最大诚信,保险利益,contains,0.52
近因原则,最大诚信,analogy,0.42
寿险,可保风险,depends,0.55
健康险,可保风险,depends,0.55
意外险,可保风险,depends,0.5
车险,可保风险,depends,0.5
责任险,可保风险,depends,0.52
再保险,偿付能力,evolved,0.55
比例再保,再保险,contains,0.58
非比例再保,再保险,contains,0.58
纯保费,大数法则,depends,0.74
费率厘定,纯保费,contains,0.76
附加保费,费率厘定,contains,0.62
赔付率,理赔数据,depends,0.58
综合成本率,赔付率,contains,0.66
准备金,赔付率,depends,0.58
未决赔款准备金,准备金,contains,0.62
经验分析,赔付率,evolved,0.52
核保,逆选择,depends,0.68
健康告知,核保,contains,0.56
财务核保,核保,contains,0.45
承保,核保,evolved,0.62
保单,承保,contains,0.62
批改,保单,contains,0.45
续保,保单,evolved,0.46
报案,保单,depends,0.5
查勘定损,报案,evolved,0.58
责任认定,查勘定损,evolved,0.62
责任认定,近因原则,depends,0.62
核赔,责任认定,evolved,0.62
赔付计算,核赔,contains,0.68
理赔时效,核赔,contains,0.42
反欺诈,理赔数据,depends,0.62
反欺诈,道德风险,evolved,0.5
代理人渠道,寿险,evolved,0.4
经纪渠道,企财险,evolved,0.35
银保渠道,寿险,evolved,0.38
互联网保险,保险核心系统,depends,0.46
嵌入式保险,互联网保险,evolved,0.55
客户分层,客户数据,depends,0.6
偿付能力,准备金,depends,0.68
风险综合评级,偿付能力,contains,0.5
销售适当性,消费者保护,contains,0.54
销售适当性,代理人渠道,depends,0.45
反洗钱,消费者保护,analogy,0.35
三道防线,偿付能力,contains,0.42
保险资金运用,偿付能力,depends,0.54
资产负债管理,准备金,depends,0.68
资产负债管理,保险资金运用,contains,0.62
久期匹配,资产负债管理,contains,0.56
承保利润,综合成本率,depends,0.62
投资收益,保险资金运用,contains,0.52
内含价值,资产负债管理,evolved,0.45
保单数据,保单,contains,0.62
理赔数据,核赔,contains,0.62
客户数据,客户分层,analogy,0.38
智能核保,核保,evolved,0.62
智能理赔,核赔,evolved,0.66
欺诈模型,反欺诈,contains,0.58
保险核心系统,保单数据,contains,0.55
产品工厂,费率厘定,contains,0.45
产品工厂,保险核心系统,contains,0.5
普惠保险,场景保险,analogy,0.34
养老金融,寿险,evolved,0.45
健康管理,健康险,evolved,0.52
场景保险,嵌入式保险,evolved,0.5
精细化运营,客户分层,evolved,0.6
生态合作,场景保险,contains,0.42
智能理赔,欺诈模型,contains,0.5
智能核保,客户数据,depends,0.5
赔付计算,准备金,analogy,0.42
再保险,可保风险,evolved,0.4
