source,target,type,weight
B01-S01-K01-A01,B01-S01-K01-A02,depends,0.78
B01-S01-K01-A02,B01-S01-K01-A03,depends,0.78
B01-S01-K01-A01,B01-S01-K01-A03,contains,0.6
B01-S01-K02-A01,B01-S01-K02-A02,depends,0.78
B01-S02-K03-A01,B01-S02-K03-A02,depends,0.78
B01-S02-K03-A02,B01-S02-K03-A03,depends,0.78
B01-S02-K03-A01,B01-S02-K03-A03,contains,0.6
B01-S02-K04-A01,B01-S02-K04-A02,depends,0.78
B01-S02-K05-A01,B01-S02-K05-A02,depends,0.78
B01-S02-K05-A02,B01-S02-K05-A03,depends,0.78
B01-S02-K05-A01,B01-S02-K05-A03,contains,0.6
B01-S03-K06-A01,B01-S03-K06-A02,depends,0.78
B01-S03-K07-A01,B01-S03-K07-A02,depends,0.78
B01-S03-K07-A02,B01-S03-K07-A03,depends,0.78
B01-S03-K07-A01,B01-S03-K07-A03,contains,0.6
B01-S04-K08-A01,B01-S04-K08-A02,depends,0.78
B01-S04-K09-A01,B01-S04-K09-A02,depends,0.78
B02-S01-K01-A01,B02-S01-K01-A02,depends,0.78
B02-S01-K01-A02,B02-S01-K01-A03,depends,0.78
B02-S01-K01-A01,B02-S01-K01-A03,contains,0.6
B02-S01-K02-A01,B02-S01-K02-A02,depends,0.78
B02-S01-K03-A01,B02-S01-K03-A02,depends,0.78
B02-S01-K03-A02,B02-S01-K03-A03,depends,0.78
B02-S01-K03-A01,B02-S01-K03-A03,contains,0.6
B02-S02-K04-A01,B02-S02-K04-A02,depends,0.78
B02-S02-K05-A01,B02-S02-K05-A02,depends,0.78
B02-S02-K05-A02,B02-S02-K05-A03,depends,0.78
B02-S02-K05-A01,B02-S02-K05-A03,contains,0.6
B02-S02-K06-A01,B02-S02-K06-A02,depends,0.78
B02-S03-K07-A01,B02-S03-K07-A02,depends,0.78
B02-S03-K07-A02,B02-S03-K07-A03,depends,0.78
B02-S03-K07-A01,B02-S03-K07-A03,contains,0.6
B02-S03-K08-A01,B02-S03-K08-A02,depends,0.78
B02-S03-K09-A01,B02-S03-K09-A02,depends,0.78
B02-S03-K09-A02,B02-S03-K09-A03,depends,0.78
B02-S03-K09-A01,B02-S03-K09-A03,contains,0.6
B02-S04-K10-A01,B02-S04-K10-A02,depends,0.78
B02-S04-K11-A01,B02-S04-K11-A02,depends,0.78
B03-S01-K01-A01,B03-S01-K01-A02,depends,0.78
B03-S01-K02-A01,B03-S01-K02-A02,depends,0.78
B03-S01-K02-A02,B03-S01-K02-A03,depends,0.78
B03-S01-K02-A01,B03-S01-K02-A03,contains,0.6
B03-S02-K03-A01,B03-S02-K03-A02,depends,0.78
B03-S02-K04-A01,B03-S02-K04-A02,depends,0.78
B03-S02-K04-A02,B03-S02-K04-A03,depends,0.78
B03-S02-K04-A01,B03-S02-K04-A03,contains,0.6
B03-S03-K05-A01,B03-S03-K05-A02,depends,0.78
B03-S03-K06-A01,B03-S03-K06-A02,depends,0.78
B03-S04-K07-A01,B03-S04-K07-A02,depends,0.78
B03-S04-K08-A01,B03-S04-K08-A02,depends,0.78
B03-S04-K08-A02,B03-S04-K08-A03,depends,0.78
B03-S04-K08-A01,B03-S04-K08-A03,contains,0.6
B04-S01-K01-A01,B04-S01-K01-A02,depends,0.78
B04-S01-K01-A02,B04-S01-K01-A03,depends,0.78
B04-S01-K01-A01,B04-S01-K01-A03,contains,0.6
B04-S01-K02-A01,B04-S01-K02-A02,depends,0.78
B04-S01-K03-A01,B04-S01-K03-A02,depends,0.78
B04-S01-K03-A02,B04-S01-K03-A03,depends,0.78
B04-S01-K03-A01,B04-S01-K03-A03,contains,0.6
B04-S02-K04-A01,B04-S02-K04-A02,depends,0.78
B04-S02-K05-A01,B04-S02-K05-A02,depends,0.78
B04-S02-K05-A02,B04-S02-K05-A03,depends,0.78
B04-S02-K05-A01,B04-S02-K05-A03,contains,0.6
B04-S02-K06-A01,B04-S02-K06-A02,depends,0.78
B04-S03-K07-A01,B04-S03-K07-A02,depends,0.78
B04-S03-K08-A01,B04-S03-K08-A02,depends,0.78
B04-S03-K09-A01,B04-S03-K09-A02,depends,0.78
B04-S03-K09-A02,B04-S03-K09-A03,depends,0.78
B04-S03-K09-A01,B04-S03-K09-A03,contains,0.6
B05-S01-K01-A01,B05-S01-K01-A02,depends,0.78
B05-S01-K02-A01,B05-S01-K02-A02,depends,0.78
B05-S01-K02-A02,B05-S01-K02-A03,depends,0.78
B05-S01-K02-A01,B05-S01-K02-A03,contains,0.6
B05-S02-K03-A01,B05-S02-K03-A02,depends,0.78
B05-S02-K04-A01,B05-S02-K04-A02,depends,0.78
B05-S02-K04-A02,B05-S02-K04-A03,depends,0.78
B05-S02-K04-A01,B05-S02-K04-A03,contains,0.6
B05-S03-K05-A01,B05-S03-K05-A02,depends,0.78
B05-S03-K06-A01,B05-S03-K06-A02,depends,0.78
B05-S03-K06-A02,B05-S03-K06-A03,depends,0.78
B05-S03-K06-A01,B05-S03-K06-A03,contains,0.6
B05-S03-K07-A01,B05-S03-K07-A02,depends,0.78
B05-S04-K08-A01,B05-S04-K08-A02,depends,0.78
B05-S04-K08-A02,B05-S04-K08-A03,depends,0.78
B05-S04-K08-A01,B05-S04-K08-A03,contains,0.6
B06-S01-K01-A01,B06-S01-K01-A02,depends,0.78
B06-S01-K02-A01,B06-S01-K02-A02,depends,0.78
B06-S01-K02-A02,B06-S01-K02-A03,depends,0.78
B06-S01-K02-A01,B06-S01-K02-A03,contains,0.6
