source,target,type,weight
B01-S01-K01-A01,B01-S01-K01-A02,depends,0.78
B01-S01-K01-A02,B01-S01-K01-A03,depends,0.78
B01-S01-K01-A01,B01-S01-K01-A03,contains,0.6
B01-S01-K02-A01,B01-S01-K02-A02,depends,0.78
B01-S01-K02-A02,B01-S01-K02-A03,depends,0.78
B01-S01-K02-A01,B01-S01-K02-A03,contains,0.6
B01-S01-K03-A01,B01-S01-K03-A02,depends,0.78
B01-S02-K01-A01,B01-S02-K01-A02,depends,0.78
B01-S02-K01-A02,B01-S02-K01-A03,depends,0.78
B01-S02-K01-A01,B01-S02-K01-A03,contains,0.6
B01-S02-K02-A01,B01-S02-K02-A02,depends,0.78
B01-S02-K02-A02,B01-S02-K02-A03,depends,0.78
B01-S02-K02-A01,B01-S02-K02-A03,contains,0.6
B01-S02-K03-A01,B01-S02-K03-A02,depends,0.78
B01-S03-K01-A01,B01-S03-K01-A02,depends,0.78
B01-S03-K01-A02,B01-S03-K01-A03,depends,0.78
B01-S03-K01-A01,B01-S03-K01-A03,contains,0.6
B01-S03-K02-A01,B01-S03-K02-A02,depends,0.78
B01-S03-K02-A02,B01-S03-K02-A03,depends,0.78
B01-S03-K02-A01,B01-S03-K02-A03,contains,0.6
B01-S03-K03-A01,B01-S03-K03-A02,depends,0.78
B01-S04-K01-A01,B01-S04-K01-A02,depends,0.78
B01-S04-K01-A02,B01-S04-K01-A03,depends,0.78
B01-S04-K01-A01,B01-S04-K01-A03,contains,0.6
B01-S04-K02-A01,B01-S04-K02-A02,depends,0.78
B01-S05-K01-A01,B01-S05-K01-A02,depends,0.78
B01-S05-K01-A02,B01-S05-K01-A03,depends,0.78
B01-S05-K01-A01,B01-S05-K01-A03,contains,0.6
B01-S05-K02-A01,B01-S05-K02-A02,depends,0.78
B01-S05-K02-A02,B01-S05-K02-A03,depends,0.78
B01-S05-K02-A01,B01-S05-K02-A03,contains,0.6
B01-S06-K01-A01,B01-S06-K01-A02,depends,0.78
B01-S06-K01-A02,B01-S06-K01-A03,depends,0.78
B01-S06-K01-A01,B01-S06-K01-A03,contains,0.6
B01-S06-K02-A01,B01-S06-K02-A02,depends,0.78
B02-S01-K01-A01,B02-S01-K01-A02,depends,0.78
B02-S01-K01-A02,B02-S01-K01-A03,depends,0.78
B02-S01-K01-A01,B02-S01-K01-A03,contains,0.6
B02-S01-K02-A01,B02-S01-K02-A02,depends,0.78
B02-S02-K01-A01,B02-S02-K01-A02,depends,0.78
B02-S02-K01-A02,B02-S02-K01-A03,depends,0.78
B02-S02-K01-A01,B02-S02-K01-A03,contains,0.6
B02-S02-K02-A01,B02-S02-K02-A02,depends,0.78
B02-S03-K01-A01,B02-S03-K01-A02,depends,0.78
B02-S03-K01-A02,B02-S03-K01-A03,depends,0.78
B02-S03-K01-A01,B02-S03-K01-A03,contains,0.6
B02-S03-K02-A01,B02-S03-K02-A02,depends,0.78
B02-S03-K03-A01,B02-S03-K03-A02,depends,0.78
B02-S04-K01-A01,B02-S04-K01-A02,depends,0.78
B02-S04-K01-A02,B02-S04-K01-A03,depends,0.78
B02-S04-K01-A01,B02-S04-K01-A03,contains,0.6
B02-S04-K02-A01,B02-S04-K02-A02,depends,0.78
B03-S01-K01-A01,B03-S01-K01-A02,depends,0.78
B03-S01-K01-A02,B03-S01-K01-A03,depends,0.78
B03-S01-K01-A01,B03-S01-K01-A03,contains,0.6
B03-S01-K02-A01,B03-S01-K02-A02,depends,0.78
B03-S02-K01-A01,B03-S02-K01-A02,depends,0.78
B03-S02-K02-A01,B03-S02-K02-A02,depends,0.78
B03-S03-K01-A01,B03-S03-K01-A02,depends,0.78
B03-S03-K01-A02,B03-S03-K01-A03,depends,0.78
B03-S03-K01-A01,B03-S03-K01-A03,contains,0.6
B03-S03-K02-A01,B03-S03-K02-A02,depends,0.78
B03-S03-K03-A01,B03-S03-K03-A02,depends,0.78
B03-S04-K01-A01,B03-S04-K01-A02,depends,0.78
B04-S01-K01-A01,B04-S01-K01-A02,depends,0.78
B04-S01-K01-A02,B04-S01-K01-A03,depends,0.78
B04-S01-K01-A01,B04-S01-K01-A03,contains,0.6
B04-S01-K02-A01,B04-S01-K02-A02,depends,0.78
B04-S02-K01-A01,B04-S02-K01-A02,depends,0.78
B04-S02-K01-A02,B04-S02-K01-A03,depends,0.78
B04-S02-K01-A01,B04-S02-K01-A03,contains,0.6
B04-S02-K02-A01,B04-S02-K02-A02,depends,0.78
B04-S02-K02-A02,B04-S02-K02-A03,depends,0.78
B04-S02-K02-A01,B04-S02-K02-A03,contains,0.6
B04-S02-K03-A01,B04-S02-K03-A02,depends,0.78
B04-S03-K01-A01,B04-S03-K01-A02,depends,0.78
B04-S03-K01-A02,B04-S03-K01-A03,depends,0.78
B04-S03-K01-A01,B04-S03-K01-A03,contains,0.6
B04-S03-K02-A01,B04-S03-K02-A02,depends,0.78
B04-S03-K02-A02,B04-S03-K02-A03,depends,0.78
B04-S03-K02-A01,B04-S03-K02-A03,contains,0.6
B04-S04-K01-A01,B04-S04-K01-A02,depends,0.78
B04-S04-K02-A01,B04-S04-K02-A02,depends,0.78
B04-S04-K02-A02,B04-S04-K02-A03,depends,0.78
B04-S04-K02-A01,B04-S04-K02-A03,contains,0.6
B04-S05-K01-A01,B04-S05-K01-A02,depends,0.78
B04-S05-K01-A02,B04-S05-K01-A03,depends,0.78
B04-S05-K01-A01,B04-S05-K01-A03,contains,0.6
B05-S01-K01-A01,B05-S01-K01-A02,depends,0.78
