source,target,type,weight
N01,N05,depends,0.9
N02,N05,depends,0.7
N03,N06,depends,0.7
N04,N07,depends,0.8
N05,N09,depends,0.85
N06,N14,depends,0.7
N07,N10,depends,0.75
N08,N25,depends,0.7
N09,N10,depends,0.95
N10,N11,depends,0.9
N11,N12,depends,0.92
N12,N13,depends,0.88
N13,N14,depends,0.75
N14,N15,depends,0.8
N15,N16,depends,0.82
N12,N21,depends,0.75
N16,N56,depends,0.8
N17,N18,depends,0.82
N18,N19,depends,0.86
N19,N20,depends,0.82
N20,N21,depends,0.8
N21,N22,depends,0.82
N22,N23,depends,0.84
N23,N24,depends,0.78
N18,N44,depends,0.78
N24,N48,depends,0.78
N25,N26,depends,0.9
N26,N27,depends,0.86
N27,N28,depends,0.82
N28,N29,depends,0.8
N29,N30,depends,0.84
N30,N31,depends,0.8
N31,N32,depends,0.76
N26,N59,depends,0.72
N32,N56,depends,0.76
N33,N34,depends,0.75
N34,N35,depends,0.78
N35,N36,depends,0.75
N36,N37,depends,0.7
N37,N38,depends,0.74
N38,N39,depends,0.76
N39,N40,depends,0.7
N35,N49,depends,0.68
N40,N63,depends,0.62
N41,N42,depends,0.82
N42,N43,depends,0.82
N43,N44,depends,0.78
N44,N45,depends,0.82
N45,N46,depends,0.72
N46,N47,depends,0.72
N47,N48,depends,0.7
N43,N62,depends,0.76
N49,N50,depends,0.78
N50,N51,depends,0.8
N51,N52,depends,0.75
N52,N53,depends,0.78
N53,N54,depends,0.74
N54,N55,depends,0.78
N55,N56,depends,0.82
N56,N57,depends,0.86
N57,N58,depends,0.8
N58,N59,depends,0.82
N59,N60,depends,0.7
N60,N61,depends,0.66
N61,N62,depends,0.68
N62,N63,depends,0.72
N63,N64,depends,0.55
N21,N57,depends,0.72
N10,N57,depends,0.7
N18,N56,depends,0.74
N30,N58,depends,0.76
