source,target,type,weight
赫拉克利特变化,泰勒斯本原,evolved,0.45
巴门尼德存在,赫拉克利特变化,contrast,0.7
苏格拉底诘问法,智者派相对主义,contrast,0.6
德性即知识,苏格拉底诘问法,contains,0.78
柏拉图理念论,巴门尼德存在,depends,0.62
洞穴寓言,柏拉图理念论,contains,0.82
亚里士多德实体论,柏拉图理念论,contrast,0.78
四因说,亚里士多德实体论,contains,0.8
三段论,亚里士多德实体论,contains,0.55
中道德性,德性即知识,evolved,0.58
中道德性,亚里士多德实体论,depends,0.52
斯多亚逻各斯,赫拉克利特变化,evolved,0.52
命运与自由,斯多亚逻各斯,contains,0.7
伊壁鸠鲁快乐论,斯多亚逻各斯,contrast,0.6
死亡无惧论证,伊壁鸠鲁快乐论,contains,0.75
皮浪怀疑主义,智者派相对主义,evolved,0.5
皮浪怀疑主义,苏格拉底诘问法,analogy,0.45
新柏拉图太一,柏拉图理念论,evolved,0.82
奥古斯丁内在性,新柏拉图太一,evolved,0.65
恶的问题,奥古斯丁内在性,contains,0.62
安瑟尔谟本体论证明,奥古斯丁内在性,evolved,0.45
阿奎那五路证明,亚里士多德实体论,depends,0.72
阿奎那五路证明,四因说,depends,0.66
共相实在论,柏拉图理念论,evolved,0.58
唯名论,共相实在论,contrast,0.78
奥卡姆剃刀,唯名论,contains,0.74
笛卡尔怀疑,皮浪怀疑主义,evolved,0.56
我思故我在,笛卡尔怀疑,contains,0.9
身心二元论,我思故我在,contains,0.72
斯宾诺莎实体一元论,身心二元论,contrast,0.78
莱布尼茨单子论,斯宾诺莎实体一元论,contrast,0.55
洛克白板说,笛卡尔怀疑,contrast,0.62
贝克莱主观唯心论,洛克白板说,evolved,0.54
休谟因果怀疑,洛克白板说,evolved,0.7
休谟因果怀疑,贝克莱主观唯心论,analogy,0.45
康德先验综合判断,休谟因果怀疑,depends,0.88
康德先验综合判断,笛卡尔怀疑,depends,0.58
范畴表,康德先验综合判断,contains,0.76
定言命令,康德先验综合判断,analogy,0.52
黑格尔辩证法,康德先验综合判断,evolved,0.68
主奴辩证法,黑格尔辩证法,contains,0.72
费尔巴哈投射论,黑格尔辩证法,contrast,0.52
马克思异化劳动,费尔巴哈投射论,evolved,0.62
历史唯物主义,黑格尔辩证法,evolved,0.72
历史唯物主义,马克思异化劳动,contains,0.58
意识形态批判,历史唯物主义,contains,0.76
功利主义原则,定言命令,contrast,0.74
密尔伤害原则,功利主义原则,evolved,0.65
尼采权力意志,上帝之死,contains,0.68
上帝之死,费尔巴哈投射论,evolved,0.45
尼采权力意志,康德先验综合判断,contrast,0.5
弗雷格意义指称,三段论,evolved,0.55
罗素摹状词理论,弗雷格意义指称,depends,0.7
维特根斯坦图像论,罗素摹状词理论,evolved,0.58
语言游戏,维特根斯坦图像论,contrast,0.82
证实原则,维特根斯坦图像论,evolved,0.5
奎因整体论,证实原则,contrast,0.78
功能主义心灵观,身心二元论,contrast,0.66
意识难题,功能主义心灵观,contrast,0.72
摩尔开放问题,功利主义原则,contrast,0.54
胡塞尔意向性,笛卡尔怀疑,evolved,0.58
现象学还原,胡塞尔意向性,contains,0.82
海德格尔此在,胡塞尔意向性,evolved,0.76
萨特自由责任,海德格尔此在,evolved,0.62
加缪荒诞,萨特自由责任,analogy,0.5
伽达默尔解释学循环,海德格尔此在,evolved,0.58
德里达延异,伽达默尔解释学循环,contrast,0.52
福柯权力知识,德里达延异,analogy,0.48
福柯权力知识,尼采权力意志,evolved,0.6
罗尔斯无知之幕,密尔伤害原则,evolved,0.58
哈贝马斯交往理性,罗尔斯无知之幕,contrast,0.46
哈贝马斯交往理性,伽达默尔解释学循环,evolved,0.48
库恩范式转换,奎因整体论,analogy,0.52
海德格尔技术座架,海德格尔此在,contains,0.62
女性主义性别建构,福柯权力知识,evolved,0.56
环境伦理代际正义,罗尔斯无知之幕,evolved,0.5
环境伦理代际正义,功利主义原则,contrast,0.45
意识难题,胡塞尔意向性,analogy,0.42
语言游戏,伽达默尔解释学循环,analogy,0.46
奥卡姆剃刀,罗素摹状词理论,analogy,0.42
范畴表,亚里士多德实体论,analogy,0.45
