source,target,type,weight
N01,N02,causes,0.82
N02,N03,contains,0.58
N03,N04,evolved,0.62
N04,N05,causes,0.78
N04,N06,causes,0.80
N07,N06,depends,0.66
N05,N08,depends,0.72
N58,N08,causes,0.76
N09,N10,depends,0.70
N10,N11,depends,0.78
N11,N12,contains,0.70
N13,N14,contains,0.62
N14,N06,causes,0.76
N13,N36,causes,0.82
N15,N49,depends,0.72
N16,N43,depends,0.70
N11,N16,depends,0.76
N17,N18,depends,0.82
N18,N19,depends,0.88
N21,N19,depends,0.86
N19,N20,analogy,0.56
N22,N21,depends,0.78
N21,N24,depends,0.68
N18,N23,depends,0.56
N25,N26,depends,0.86
N26,N27,contains,0.84
N28,N29,depends,0.84
N29,N30,evolved,0.62
N31,N05,depends,0.62
N32,N31,contrast,0.58
N27,N62,analogy,0.44
N33,N25,depends,0.72
N34,N35,contains,0.74
N36,N34,depends,0.76
N35,N41,depends,0.78
N37,N27,depends,0.64
N38,N37,contains,0.72
N39,N47,depends,0.70
N40,N47,depends,0.72
N39,N40,analogy,0.46
N41,N45,depends,0.68
N42,N51,depends,0.74
N43,N06,depends,0.82
N44,N56,analogy,0.50
N45,N46,analogy,0.62
N46,N48,depends,0.70
N47,N41,depends,0.72
N48,N43,depends,0.62
N49,N15,depends,0.70
N50,N11,evolved,0.54
N51,N42,depends,0.78
N52,N30,depends,0.64
N53,N26,depends,0.70
N54,N07,analogy,0.46
N55,N56,depends,0.82
N55,N51,depends,0.76
N56,N52,depends,0.68
N57,N58,depends,0.74
N58,N33,depends,0.58
N59,N40,depends,0.68
N59,N53,depends,0.62
N60,N49,depends,0.62
N61,N62,depends,0.72
N62,N26,depends,0.56
N63,N43,analogy,0.42
N64,N27,depends,0.72
N64,N63,depends,0.58
N13,N21,causes,0.74
N36,N21,depends,0.66
N25,N41,contains,0.72
N27,N37,depends,0.58
N06,N43,causes,0.64
N58,N57,causes,0.68
N55,N60,depends,0.54
N52,N41,depends,0.62
N24,N33,depends,0.52
N22,N34,depends,0.50
N31,N52,contrast,0.46
N32,N61,depends,0.40
